City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ushuaia,-54.8061,-68.3185,11.83,58,0,11.32,AR,1707868377
83,happy valley-goose bay,53.2964,-60.3112,-1.71,86,100,4.12,CA,1707868377
84,guercif,34.2256,-3.3523,17.92,70,99,1.79,MA,1707868378
85,ribeira grande,37.8225,-25.5195,15.19,94,40,5.66,PT,1707868378
86,port elizabeth,-33.9617,25.6208,20.64,94,75,4.63,ZA,1707867593
87,bijie,27.2859,105.2866,8.88,94,35,0.11,CN,1707868379
88,muntok,-2.0672,105.1651,25.66,89,100,2.71,ID,1707868379
89,horta,38.5368,-28.6301,15.7,77,92,8.49,PT,1707868379
90,bredasdorp,-34.5331,20.0428,17.51,88,15,2.12,ZA,1707868380
91,balikpapan,-1.2399,116.8593,25.97,83,20,3.09,ID,1707868380
92,toktogul,41.8735,72.9451,0.83,78,99,1.15,KG,1707868381
93,ludington,43.9555,-86.4477,-0.95,76,100,2.57,US,1707868381
94,mysen,59.5557,11.326,-2.61,95,97,0.9,NO,1707868381
95,suez,29.9745,32.5371,15.23,64,66,1.45,EG,1707868382
96,sodra sandby,55.7172,13.3474,4.81,97,45,2.73,SE,1707868382
97,gobabis,-22.4495,18.9725,26.65,33,83,3.29,NA,1707868382
98,thompson,55.7433,-97.8635,-4.9,93,100,1.03,CA,1707868383
99,isafjordur,66.0727,-23.1194,-4.93,80,37,3.75,IS,1707868383
100,port alfred,-33.5982,26.8915,19.47,92,75,1.34,ZA,1707868383
101,chonchi,-42.624,-73.7724,21.79,65,8,1.27,CL,1707868384
102,hoopstad,-27.8342,25.9126,24.5,35,60,2.91,ZA,1707868384
103,lubango,-14.9196,13.4898,17.9,88,100,2.57,AO,1707868385
104,nantucket,41.3157,-70.009,0.02,93,40,10.29,US,1707868385
105,hithadhoo,1.7959,73.3876,28.17,79,100,6.78,MV,1707868385
106,niafunke,15.931,-3.99,26.4,8,95,3.54,ML,1707868386
107,sabang,5.8927,95.3226,27.87,77,74,9.68,ID,1707868386
108,undurkhaan,47.3256,110.6649,-25.96,98,77,1.12,MN,1707868387
109,haimen,31.8729,121.1771,11.84,87,16,1.62,CN,1707868387
110,san antonio de pale,-1.4046,5.6326,28.21,80,93,2.06,GQ,1707868388
111,nelson bay,-32.7218,152.1441,32.16,56,0,4.02,AU,1707868388
112,howard springs,-12.497,131.047,24.95,96,100,2.39,AU,1707868389
113,poltavka,54.8313,70.3119,-6.11,92,100,7.17,KZ,1707868389
114,udachny,66.4118,112.2517,-37.34,66,100,3.13,RU,1707868389
115,longyearbyen,78.2232,15.6464,-2.85,74,20,7.2,SJ,1707868390
116,mek'ele,13.4967,39.4768,16.42,75,16,1.46,ET,1707868391
117,poronaysk,49.2216,143.1016,-9.16,91,100,2.43,RU,1707868391
118,fukuecho,34.304,133.8672,11.38,81,75,4.63,JP,1707868392
119,rio grande,-53.7857,-67.7016,18.02,42,0,11.83,AR,1707868392
120,villamontes,-11.4744,-67.1456,22.44,99,100,0.62,BO,1707868393
121,papao,12.6919,-16.3792,25.06,83,0,3.09,SN,1707868393
122,iskateley,67.6762,53.1292,-29.41,98,8,3.58,RU,1707868394
123,qamdo,31.145,97.1699,-1.82,58,52,1.86,CN,1707868394
124,jamestown,-15.9277,-5.7161,24.32,78,21,6.52,SH,1707868395
125,porto novo,6.4991,2.6253,26.72,90,0,3.11,BJ,1707868395
126,ilulissat,69.2197,-51.0986,-24.84,53,3,1.03,GL,1707868395
127,sao joao da barra,-21.6349,-41.0487,27.06,86,66,6.09,BR,1707868396
128,college,45.3266,-75.8386,0.08,79,100,7.15,CA,1707868397
129,neiafu,-18.6516,-173.9833,28.38,78,100,7.72,TO,1707868397
130,bubaque,11.2997,-15.8335,26.64,73,94,7.78,GW,1707868398
131,nanjing,32.0616,118.7915,4.97,72,5,1.67,CN,1707868168
132,ipatovo,45.7197,42.9163,8.39,74,100,1.94,RU,1707868399
133,yokadouma,3.5169,15.0521,22.26,36,76,0.03,CM,1707868399
